instant,date,season,year,month,hour,holiday,weekday,workingday,weather,temp,atemp,hum,windspeed,casual,registered,cnt,day_type,day_name
1,2011-01-01,Spring,2011,Jan,0,No,Saturday,Holiday,Clear/Partly Cloudy,0.24,0.2879,0.81,0.0,3,13,16,Weekend/Holiday,Saturday
2,2011-01-01,Spring,2011,Jan,1,No,Saturday,Holiday,Clear/Partly Cloudy,0.22,0.2727,0.8,0.0,8,32,40,Weekend/Holiday,Saturday
3,2011-01-01,Spring,2011,Jan,2,No,Saturday,Holiday,Clear/Partly Cloudy,0.22,0.2727,0.8,0.0,5,27,32,Weekend/Holiday,Saturday
4,2011-01-01,Spring,2011,Jan,3,No,Saturday,Holiday,Clear/Partly Cloudy,0.24,0.2879,0.75,0.0,3,10,13,Weekend/Holiday,Saturday
5,2011-01-01,Spring,2011,Jan,4,No,Saturday,Holiday,Clear/Partly Cloudy,0.24,0.2879,0.75,0.0,0,1,1,Weekend/Holiday,Saturday
6,2011-01-01,Spring,2011,Jan,5,No,Saturday,Holiday,Mist/Cloudy,0.24,0.2576,0.75,0.0896,0,1,1,Weekend/Holiday,Saturday
7,2011-01-01,Spring,2011,Jan,6,No,Saturday,Holiday,Clear/Partly Cloudy,0.22,0.2727,0.8,0.0,2,0,2,Weekend/Holiday,Saturday
8,2011-01-01,Spring,2011,Jan,7,No,Saturday,Holiday,Clear/Partly Cloudy,0.2,0.2576,0.86,0.0,1,2,3,Weekend/Holiday,Saturday
9,2011-01-01,Spring,2011,Jan,8,No,Saturday,Holiday,Clear/Partly Cloudy,0.24,0.2879,0.75,0.0,1,7,8,Weekend/Holiday,Saturday
10,2011-01-01,Spring,2011,Jan,9,No,Saturday,Holiday,Clear/Partly Cloudy,0.32,0.3485,0.76,0.0,8,6,14,Weekend/Holiday,Saturday
11,2011-01-01,Spring,2011,Jan,10,No,Saturday,Holiday,Clear/Partly Cloudy,0.38,0.3939,0.76,0.2537,12,24,36,Weekend/Holiday,Saturday
12,2011-01-01,Spring,2011,Jan,11,No,Saturday,Holiday,Clear/Partly Cloudy,0.36,0.3333,0.81,0.2836,26,30,56,Weekend/Holiday,Saturday
13,2011-01-01,Spring,2011,Jan,12,No,Saturday,Holiday,Clear/Partly Cloudy,0.42,0.4242,0.77,0.2836,29,55,84,Weekend/Holiday,Saturday
14,2011-01-01,Spring,2011,Jan,13,No,Saturday,Holiday,Mist/Cloudy,0.46,0.4545,0.72,0.2985,47,47,94,Weekend/Holiday,Saturday
15,2011-01-01,Spring,2011,Jan,14,No,Saturday,Holiday,Mist/Cloudy,0.46,0.4545,0.72,0.2836,35,71,106,Weekend/Holiday,Saturday
16,2011-01-01,Spring,2011,Jan,15,No,Saturday,Holiday,Mist/Cloudy,0.44,0.4394,0.77,0.2985,40,70,110,Weekend/Holiday,Saturday
